Código,Instituição,Segmento_Prudencial,Ativo Total,Carteira de Crédito Total,Indice_Basileia (%),Capital_Principal_CET1 (%),Razao_Alavancagem (%),Deposito_Vista_vs_Funding (%),LDR (%),Indice_Inadimplencia_II (%),ICP_Cobertura (%),ROE_Calculado (%),ROA_Calculado (%),Indice_Eficiencia_IE (%),LCR (%)
1000088022,PICPAY - PRUDENCIAL,S3,41711931.0,20415204.0,11.74,9.25,,0.23,70.41,5.5,296.37,19.86,2.06,108.49,
1000080147,BANESTES - PRUDENCIAL,S3,39798574.0,12215378.0,14.28,14.28,6.85,2.67,49.97,1.22,334.15,9.11,0.55,61.48,
1000080123,MERCANTIL DO BRASIL - PRUDENCIAL,S3,37527356.0,22668635.0,13.53,9.83,5.88,1.35,106.02,1.95,226.2,11.64,0.72,54.17,
1000080374,PINE - PRUDENCIAL,S3,32521364.0,12325515.0,14.69,10.07,5.04,0.32,79.38,2.07,262.06,20.08,0.89,40.03,
1000081665,BCO CLASSICO S.A. - PRUDENCIAL,S3,32316067.0,0.0,42.9,42.9,61.91,100.0,0.0,,,0.37,0.23,1177.65,
1000080903,ORIGINAL - PRUDENCIAL,S3,32141684.0,18137935.0,14.44,7.61,7.66,0.33,106.11,1.73,429.23,0.6,0.03,78.44,
1000084624,BOCOM - PRUDENCIAL,S3,32072863.0,16244630.0,16.11,9.92,5.8,1.86,507.97,0.72,87.62,12.98,0.67,26.74,
25683434,COOPERATIVA CENTRAL DE CRÃDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS,S3,30750159.0,160754.0,18.01,18.01,2.8,0.0,75.6,0.0,,7.4,0.4,129.73,
1000087298,STELLANTIS - PRUDENCIAL,S3,30229068.0,26610802.0,14.85,14.85,10.71,0.0,188.69,0.22,432.96,6.98,1.86,23.27,
1000081311,BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,S3,29251361.0,23558908.0,19.94,19.94,16.28,0.0,12015.87,0.48,563.33,7.57,1.35,27.26,
