Instituição;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);SR;TCip;
BANCO PORTO REAL DE INVEST.S.A - PRUDENCIAL;1000081359;b2;I;2;PORTO REAL;RJ;12/2025;Sim;Não;31.903;0;S4;1
BANCO RIBEIRÃO PRETO - PRUDENCIAL;1000084349;b1;I;3;RIBEIRAO PRETO;SP;12/2025;Sim;Não;2.054.366;0;S4;1
BANCO RNX S.A. - PRUDENCIAL;1000081775;b2;I;2;CURITIBA;PR;12/2025;Sim;Não;81.191;0;S4;1
BANCO SEMEAR - PRUDENCIAL;1000081380;b1;I;2;BELO HORIZONTE;MG;12/2025;Sim;Não;942.536;0;S4;1
BANCO SICOOB - PRUDENCIAL;1000080879;b1;C;2;BRASILIA;DF;12/2025;Sim;Não;196.333.101;0;S2;1
BANCO TOPÁZIO S.A. - PRUDENCIAL;1000081517;b1;I;3;PORTO ALEGRE;RS;12/2025;Sim;Não;2.474.118;0;S4;1
BANCO TRATON BRASIL S.A. - PRUDENCIAL;1000088534;b2;I;3;SAO PAULO;SP;12/2025;Sim;Não;5.380.920;0;S4;1
BANCO TRAVELEX - PRUDENCIAL;1000080783;b1;C;3;SAO PAULO;SP;12/2025;Sim;Não;780.149;0;S4;1
BANCO XCMG BRASIL - PRUDENCIAL;1000085300;b2;I;3;POUSO ALEGRE;MG;12/2025;Sim;Não;1.108.423;0;S4;1
BANESTES - PRUDENCIAL;1000080147;b1;C;1;VITORIA;ES;12/2025;Sim;Não;30.399.091;0;S3;1
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;C;3;SAO PAULO;SP;12/2025;Sim;Não;23.039.996;1.006.269;S3;1
BANQI IP - PRUDENCIAL;1000085829;n1;C;2;SAO PAULO;SP;12/2025;Não;Sim;555.783;0;S5;3
BANRISUL - PRUDENCIAL;1000080154;b1;C;1;PORTO ALEGRE;RS;12/2025;Sim;Não;169.514.326;0;S2;1
BANSUR JM SCD - PRUDENCIAL;1000085812;n1;I;2;BELO HORIZONTE;MG;12/2025;Não;Sim;4.858;0;S5;1
BARRACRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO;1439107;b3S;I;2;BARRA BONITA;SP;12/2025;Não;Sim;323.452;NI;S5;1
BARU SCFI - PRUDENCIAL;1000085805;n1;C;2;PORTO ALEGRE;RS;12/2025;Não;Não;10.183;0;S4;1
BB - PRUDENCIAL;1000080329;b1;C;1;BRASILIA;DF;12/2025;Sim;Não;2.491.524.937;40.531.680;S1;1
BBC S.A. - PRUDENCIAL;1000084480;b1;C;2;SAO PAULO;SP;12/2025;Sim;Não;2.371.039;0;S4;1
BBVA BRASIL BI S.A. - PRUDENCIAL;1000081366;b2;I;3;SAO PAULO;SP;12/2025;Sim;Não;1.752.335;0;S4;1
BCO ABN AMRO CLEARING - PRUDENCIAL;1000081579;b1;C;3;SAO PAULO;SP;12/2025;Sim;Não;3.019.179;0;S4;1
