Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;12/2025;37.527.356;22.668.635;3.780.669;35.199.002;29.825.537;2.328.354;271.072;2.566.563;13,53%;19,32%;11;298
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;12/2025;32.521.364;12.325.515;14.879.176;31.085.732;25.214.967;1.435.632;288.248;2.204.315;14,69%;7,81%;5;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2025;32.316.067;0;25.819.804;12.308.942;314;20.007.126;74.545;20.007.126;42,90%;1,70%;2;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;12/2025;32.141.684;18.137.935;5.475.775;30.338.314;28.025.985;1.803.370;10.893;3.493.473;14,44%;5,59%;2;0
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;12/2025;32.072.863;16.244.630;9.833.793;30.429.488;27.868.235;1.643.376;213.304;2.604.411;16,11%;0,52%;8;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;12/2025;30.750.159;160.754;14.862.969;29.072.918;947.027;1.677.241;124.072;840.860;18,01%;11,45%;0;0
STELLANTIS - PRUDENCIAL;1000087298;b2;S3;C;3;SAO PAULO;SP;12/2025;30.229.068;26.610.802;581.300;22.173.156;20.920.413;8.055.912;561.997;3.475.492;14,85%;0,20%;4;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;12/2025;29.251.361;23.558.908;2.845.933;24.017.464;22.071.643;5.233.897;395.970;5.204.454;19,94%;0,74%;4;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;12/2025;27.595.338;0;15.925.820;22.425.768;7.514.741;5.169.570;490.658;5.010.874;33,27%;0,35%;4;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;12/2025;27.391.993;24.755.784;1.238;24.653.245;22.985.429;2.738.748;-141.325;3.662.885;15,31%;0,08%;2;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;12/2025;26.330.306;20.302.694;637.512;24.482.981;5.087.601;1.847.325;171.710;2.459.973;10,92%;7,68%;5;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;12/2025;25.842.657;0;11.566.426;19.433.975;6.047.628;6.408.682;583.313;6.334.157;22,52%;0,80%;4;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;12/2025;23.898.360;942.448;9.667.705;22.973.446;0;924.914;57.135;512.346;14,60%;2,04%;0;0
