Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
PICPAY - PRUDENCIAL;1000088022;b1;S3;C;2;SAO PAULO;SP;12/2025;823;154.991;5.935.358;27.572;17.422.059;-3.326.803;-31.960;0;14.063.296;0;0;0;0;954.299;-301;-1.220;0;952.779;5.616.656;-217.527;5.399.128;13.740.316;1.437.668;41.711.931
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;12/2025;167.921;5.758.373;17.896.349;0;12.086.360;-496.853;0;0;11.589.507;0;0;0;0;9.900;-219;0;0;9.680;620.585;-4.395;616.190;2.813.914;946.640;39.798.574
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;12/2025;1.063.072;5.236.643;3.780.669;0;23.221.770;-999.668;30.578;0;22.252.680;0;0;0;0;279.952;-5.790;0;0;274.162;142.905;-1.112;141.793;3.675.545;1.102.792;37.527.356
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;12/2025;38.697;865.221;14.879.176;1.255.924;12.216.598;-669.982;-83.527;419.090;11.882.180;0;0;0;0;456.923;-51.491;0;0;405.432;38.616;-712;37.904;2.958.558;198.272;32.521.364
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2025;795;5.409.950;25.819.804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;745.406;340.113;32.316.067
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;12/2025;13.688;1.046.356;5.475.775;229.252;10.993.913;-1.348.510;14.407;0;9.659.810;0;0;0;0;8.525.078;-46.231;-722;0;8.478.125;0;0;0;6.958.148;280.532;32.141.684
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;12/2025;228.271;4.090.748;9.833.793;671.551;11.633.271;-102.429;13.178;0;11.544.021;0;0;0;0;4.747.043;-46.326;-108;1;4.700.609;0;0;0;922.404;81.467;32.072.863
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;12/2025;121;14.223.433;14.862.969;0;161.378;-624;0;0;160.754;0;0;0;0;0;0;0;0;0;0;0;0;524.517;978.365;30.750.159
STELLANTIS - PRUDENCIAL;1000087298;b2;S3;C;3;SAO PAULO;SP;12/2025;15.307;2.065.101;581.300;82.062;26.610.467;-253.417;0;0;26.357.050;0;0;0;0;244.554;-138;0;0;244.416;9.512;-175;9.337;784.451;90.044;30.229.068
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;12/2025;7.471;2.129.960;2.845.933;38;24.067.261;-638.796;0;0;23.428.465;0;0;0;0;132.031;-1.588;0;0;130.443;0;0;0;663.439;45.613;29.251.361
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;12/2025;8.402;465.723;15.925.820;9.012.075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.165.967;17.350;27.595.338
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;12/2025;23.885;834.619;1.238;336.060;21.946.357;-2.011.000;0;0;19.935.357;50.745;-3.056;0;47.689;4.792.848;-33.528;0;0;4.759.319;13.694;-275;13.419;1.421.390;19.016;27.391.993
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;12/2025;104.799;141.376;637.512;103.847;8.632.419;-3.107.230;0;0;5.525.189;0;0;0;0;47.389;-2.452;0;0;44.937;14.817.696;-85.129;14.732.567;4.745.953;294.125;26.330.306
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;12/2025;224.944;5.260.215;11.566.426;6.083.640;0;0;0;0;0;0;0;0;0;73.552;-73.552;0;0;0;0;0;0;2.656.856;50.576;25.842.657
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;12/2025;3;12.834.877;9.667.705;0;948.121;-5.673;0;0;942.448;0;0;0;0;0;0;0;0;0;0;0;0;9.039;444.289;23.898.360
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;12/2025;3;18.229.057;4.104.944;0;325.998;-513;0;0;325.485;0;0;0;0;0;0;0;0;0;0;0;0;135.726;673.533;23.468.747
