Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;IRRBB;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;;
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;1;C;3;SAO PAULO;SP;12/2025;1.911.794;935.408;2.847.202;0;2.847.202;16.133.360;488.282;0;72.366;550;13.773;0;574.970;1.905.313;0;18.613.644;23.039.996;10,27%;15,30%;15,30%;465.341;83.132;12,36%;1,67%
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;1;I;2;SAO PAULO;SP;12/2025;2.987.514;0;2.987.514;0;2.987.514;16.275.670;3.451;0;0;0;0;0;3.451;2.187.669;476;18.467.267;26.368.285;16,18%;16,18%;16,18%;923.363;144.029;11,33%;3,86%
STONE IP - PRUDENCIAL;1000084686;n1;S3;3;C;3;SAO PAULO;SP;12/2025;2.378.457;492.215;2.870.671;0;2.870.671;5.103.771;105.599;0;0;0;98.841;0;204.440;1.301.061;11.725.715;18.334.986;NA;12,97%;15,66%;15,66%;458.375;34.909;NA%;NA%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;1;C;3;SAO BERNARDO DO CAMPO;SP;12/2025;2.376.500;0;2.376.500;0;2.376.500;17.257.966;0;0;0;0;0;0;0;790.797;0;18.048.764;20.302.874;13,17%;13,17%;13,17%;451.219;107.193;11,71%;0,51%
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;1;I;3;SAO PAULO;SP;12/2025;2.971.719;0;2.971.719;0;2.971.719;9.026.303;1.329.893;0;3.254.620;0;1.349.218;0;5.933.731;1.505.785;0;16.465.819;22.822.671;18,05%;18,05%;18,05%;411.645;66.657;13,02%;0,77%
VOLVO - PRUDENCIAL;1000080769;b2;S3;1;C;3;CURITIBA;PR;12/2025;3.976.629;0;3.976.629;0;3.976.629;15.311.287;29.450;24.089;0;0;0;0;53.539;857.187;0;16.222.014;17.425.102;24,51%;24,51%;24,51%;405.550;196.921;22,82%;14,66%
BOCOM - PRUDENCIAL;1000084624;b1;S3;1;C;3;SALVADOR;BA;12/2025;1.603.268;213.533;1.816.801;787.610;2.604.411;14.198.585;478.131;2.157;32.542;0;197.447;0;710.277;1.253.711;0;16.162.574;31.320.941;9,92%;11,24%;16,11%;404.064;51.970;5,80%;0,52%
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;1;C;3;SAO PAULO;SP;12/2025;4.088.729;0;4.088.729;0;4.088.729;13.614.943;103.050;0;117.917;0;780.177;0;1.001.145;993.951;0;15.610.039;25.063.892;26,19%;26,19%;26,19%;390.251;89.800;16,31%;0,28%
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;1;C;3;SAO PAULO;SP;12/2025;5.010.874;0;5.010.874;0;5.010.874;3.977.247;35.827;21;4.365.592;501.567;2.169.106;566.311;7.638.423;3.445.014;0;15.060.685;23.827.333;33,27%;33,27%;33,27%;376.517;400.287;21,03%;0,35%
PINE - PRUDENCIAL;1000080374;b1;S3;1;C;2;SAO PAULO;SP;12/2025;1.510.491;136.570;1.647.060;557.255;2.204.315;12.546.485;93.230;17.503;134.621;43.594;65.107;648.138;1.002.193;1.458.496;0;15.007.174;32.675.208;10,07%;10,98%;14,69%;375.179;127.639;5,04%;7,81%
